Dia;Numero_SMS;Tipo_Mensagens;Operadora;Canal
19-jan;19828;Enviadas;MVTEL;IZI
19-jan;63775;Enviadas;VDCOM;IZI
19-jan;79877;Enviadas;MCEL ;IZI
20-jan;10;Enviadas;MVTEL;SMART IZI
20-jan;113;Enviadas;VDCOM;SMART IZI
20-jan;142;Enviadas;MCEL;SMART IZI
20-jan;17565;Enviadas;MVTEL;IZI
20-jan;55540;Enviadas;VDCOM;IZI
20-jan;67707;Enviadas;MCEL ;IZI
21-jan;16;Enviadas;MVTEL;SMART IZI
21-jan;80;Enviadas;VDCOM;SMART IZI
21-jan;102;Enviadas;MCEL;SMART IZI
21-jan;13938;Enviadas;MVTEL;IZI
21-jan;41597;Enviadas;VDCOM;IZI
21-jan;51576;Enviadas;MCEL ;IZI
22-jan;21;Enviadas;MVTEL;SMART IZI
22-jan;179;Enviadas;VDCOM;SMART IZI
22-jan;193;Enviadas;MCEL;SMART IZI
22-jan;18511;Enviadas;MVTEL;IZI
22-jan;55706;Enviadas;VDCOM;IZI
22-jan;72432;Enviadas;MCEL ;IZI
23-jan;19;Enviadas;MVTEL;SMART IZI
23-jan;164;Enviadas;MCEL;SMART IZI
23-jan;178;Enviadas;VDCOM;SMART IZI
23-jan;20276;Enviadas;MVTEL;IZI
23-jan;59874;Enviadas;VDCOM;IZI
23-jan;83031;Enviadas;MCEL ;IZI
24-jan;16;Enviadas;MVTEL;SMART IZI
24-jan;189;Enviadas;VDCOM;SMART IZI
24-jan;231;Enviadas;MCEL;SMART IZI
24-jan;20539;Enviadas;MVTEL;IZI
24-jan;67254;Enviadas;VDCOM;IZI
24-jan;90989;Enviadas;MCEL ;IZI
25-jan;35;Enviadas;MVTEL;SMART IZI
25-jan;161;Enviadas;VDCOM;SMART IZI
25-jan;207;Enviadas;MCEL;SMART IZI
25-jan;17774;Enviadas;MVTEL;IZI
25-jan;62905;Enviadas;VDCOM;IZI
25-jan;78843;Enviadas;MCEL ;IZI
26-jan;22;Enviadas;MVTEL;SMART IZI
26-jan;148;Enviadas;VDCOM;SMART IZI
26-jan;206;Enviadas;MCEL;SMART IZI
26-jan;16529;Enviadas;MVTEL;IZI
26-jan;64692;Enviadas;VDCOM;IZI
26-jan;75737;Enviadas;MCEL ;IZI
27-jan;13;Enviadas;MVTEL;SMART IZI
27-jan;90;Enviadas;VDCOM;SMART IZI
27-jan;123;Enviadas;MCEL;SMART IZI
27-jan;14681;Enviadas;MVTEL;IZI
27-jan;55561;Enviadas;VDCOM;IZI
27-jan;62255;Enviadas;MCEL ;IZI
28-jan;17;Enviadas;MVTEL;SMART IZI
28-jan;84;Enviadas;VDCOM;SMART IZI
28-jan;90;Enviadas;MCEL;SMART IZI
28-jan;12230;Enviadas;MVTEL;IZI
28-jan;41987;Enviadas;VDCOM;IZI
28-jan;45816;Enviadas;MCEL ;IZI
29-jan;31;Enviadas;MVTEL;SMART IZI
29-jan;181;Enviadas;VDCOM;SMART IZI
29-jan;187;Enviadas;MCEL;SMART IZI
29-jan;13434;Enviadas;MVTEL;IZI
29-jan;50357;Enviadas;VDCOM;IZI
29-jan;61038;Enviadas;MCEL ;IZI
30-jan;22;Enviadas;MVTEL;SMART IZI
30-jan;180;Enviadas;VDCOM;SMART IZI
30-jan;187;Enviadas;MCEL;SMART IZI
30-jan;12606;Enviadas;MVTEL;IZI
30-jan;51236;Enviadas;VDCOM;IZI
30-jan;60241;Enviadas;MCEL ;IZI
31-jan;16;Enviadas;MVTEL;SMART IZI
31-jan;176;Enviadas;VDCOM;SMART IZI
31-jan;178;Enviadas;MCEL;SMART IZI
31-jan;12151;Enviadas;MVTEL;IZI
31-jan;53082;Enviadas;VDCOM;IZI
31-jan;60270;Enviadas;MCEL ;IZI
