CELNBR;Saida;Entrada;Duracao_segundos;Hora;Intervalo;Operadora;acima_abaixo
2,58823E+11;30-01-2018 17:00;30-01-2018 17:00;16;17;d - 16>18;MCEL;ABAIXO
2,58823E+11;30-01-2018 16:45;30-01-2018 16:45;12;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;30-01-2018 16:30;30-01-2018 16:30;14;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;30-01-2018 16:15;30-01-2018 16:15;7;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;30-01-2018 16:00;30-01-2018 16:00;5;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;30-01-2018 15:45;30-01-2018 15:45;10;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 15:30;30-01-2018 15:30;5;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 15:15;30-01-2018 15:15;10;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 15:00;30-01-2018 15:00;8;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 14:45;30-01-2018 14:45;13;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 14:30;30-01-2018 14:30;8;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 14:15;30-01-2018 14:15;8;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 14:00;30-01-2018 14:00;12;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 13:45;30-01-2018 13:45;13;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 13:30;30-01-2018 13:30;5;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 13:15;30-01-2018 13:15;8;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 13:00;30-01-2018 13:00;4;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 12:45;30-01-2018 12:45;15;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 12:30;30-01-2018 12:30;5;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 12:15;30-01-2018 12:19;252;12;c - 12>16;MCEL;ACIMA
2,58823E+11;30-01-2018 12:00;30-01-2018 12:00;58;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;30-01-2018 11:45;30-01-2018 11:45;7;11;b - 7>12;MCEL;ABAIXO
