CELNBR;Saida;Entrada;Duracao_segundos;Hora;Intervalo;Operadora;acima_abaixo
2,58875E+11;23-11-2017 10:00;23-11-2017 10:00;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:45;23-11-2017 09:45;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:30;23-11-2017 09:30;8;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:15;23-11-2017 09:15;3;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:00;23-11-2017 09:00;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 08:45;23-11-2017 08:45;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 08:30;23-11-2017 08:30;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 08:15;23-11-2017 08:15;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 08:00;23-11-2017 08:00;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;22-11-2017 19:45;22-11-2017 19:45;7;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 19:30;22-11-2017 19:30;6;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 19:15;22-11-2017 19:15;8;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 19:00;22-11-2017 19:00;5;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 18:45;22-11-2017 18:45;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 18:30;22-11-2017 18:30;4;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 18:15;22-11-2017 18:15;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 18:00;22-11-2017 18:00;5;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;22-11-2017 17:45;22-11-2017 17:45;5;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 17:30;22-11-2017 17:30;4;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 17:15;22-11-2017 17:15;6;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 17:00;22-11-2017 17:00;5;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 16:45;22-11-2017 16:45;6;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 16:30;22-11-2017 16:30;4;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 16:15;22-11-2017 16:15;5;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 16:00;22-11-2017 16:00;6;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;22-11-2017 15:45;22-11-2017 15:45;7;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 15:30;22-11-2017 15:30;4;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;22-11-2017 15:15;22-11-2017 15:15;5;15;c - 12>16;MVTEL;ABAIXO
