Dia;Numero_SMS;Tipo_Mensagens;Operadora;Canal
15-Dec;19;Enviadas;MVTEL;SMART IZI
16-Dec;25;Enviadas;MVTEL;SMART IZI
17-Dec;39;Enviadas;MVTEL;SMART IZI
18-Dec;21;Enviadas;MVTEL;SMART IZI
19-Dec;30;Enviadas;MVTEL;SMART IZI
20-Dec;42;Enviadas;MVTEL;SMART IZI
21-Dec;19;Enviadas;MVTEL;SMART IZI
22-Dec;31;Enviadas;MVTEL;SMART IZI
23-Dec;19;Enviadas;MVTEL;SMART IZI
24-Dec;9;Enviadas;MVTEL;SMART IZI
25-Dec;19;Enviadas;MVTEL;SMART IZI
26-Dec;26;Enviadas;MVTEL;SMART IZI
27-Dec;30;Enviadas;MVTEL;SMART IZI
28-Dec;24;Enviadas;MVTEL;SMART IZI
29-Dec;20;Enviadas;MVTEL;SMART IZI
30-Dec;12;Enviadas;MVTEL;SMART IZI
31-Dec;6;Enviadas;MVTEL;SMART IZI
01-Dec;55108;Enviadas;VDCOM;IZI
02-Dec;45005;Enviadas;VDCOM;IZI
03-Dec;36467;Enviadas;VDCOM;IZI
04-Dec;43682;Enviadas;VDCOM;IZI
05-Dec;46031;Enviadas;VDCOM;IZI
06-Dec;49875;Enviadas;VDCOM;IZI
07-Dec;47230;Enviadas;VDCOM;IZI
08-Dec;46192;Enviadas;VDCOM;IZI
09-Dec;38902;Enviadas;VDCOM;IZI
10-Dec;31855;Enviadas;VDCOM;IZI
11-Dec;39394;Enviadas;VDCOM;IZI
12-Dec;42554;Enviadas;VDCOM;IZI
13-Dec;42945;Enviadas;VDCOM;IZI
14-Dec;57820;Enviadas;VDCOM;IZI
15-Dec;69794;Enviadas;VDCOM;IZI
16-Dec;32640;Enviadas;VDCOM;IZI
17-Dec;49612;Enviadas;VDCOM;IZI
18-Dec;58089;Enviadas;VDCOM;IZI
19-Dec;61305;Enviadas;VDCOM;IZI
20-Dec;73050;Enviadas;VDCOM;IZI
21-Dec;71987;Enviadas;VDCOM;IZI
22-Dec;72221;Enviadas;VDCOM;IZI
23-Dec;61258;Enviadas;VDCOM;IZI
24-Dec;53743;Enviadas;VDCOM;IZI
25-Dec;44190;Enviadas;VDCOM;IZI
26-Dec;43890;Enviadas;VDCOM;IZI
27-Dec;46783;Enviadas;VDCOM;IZI
28-Dec;48116;Enviadas;VDCOM;IZI
29-Dec;51247;Enviadas;VDCOM;IZI
30-Dec;47769;Enviadas;VDCOM;IZI
31-Dec;50405;Enviadas;VDCOM;IZI
